Bus Besar,A Perum PPD,52,Pulo Gadung - Pasar Baru,Term. Pulo Gadung -- P. Kemerdekaan -- Jl. Suprapto -- Jl. Tanah Tinggi Barat -- Jl. Benyamin S. -- Kemayoran -- Jl. Angkasa -- Jl. Gunung Sahari -- Jl. Dr. Sutomo -- Jl. Pos -- Khatedral -- Pasar Baru,Pasar Baru -- Khatedral -- Jl. Pos -- Jl. Dr. Sutomo -- Jl. Gunung Sahari -- Jl. Angkasa -- Kemayoran -- Jl. Benyamin S. -- Jl. Tanah Tinggi Barat -- Jl. Suprapto -- P. Kemerdekaan -- Term. Pulo Gadung
Angkutan Pengganti Bemo,-,JS01A,Mahakam II - Lebak Bulus,Mahakam II Atas -- Barito -- Pasar Blok A -- Fatmawati -- Petogogan I -- Pete IV -- Ketimun III -- Pasar Inpres -- Radio Dalam -- Hidup Baru V - III -- Bina Karya -- H Nawi Raya -- H Syaip -- Madrasah Raya I -- Poncol -- Kramat Batu -- Terogong -- H Batong Raya -- Muhasyim -- Kecamatan Cilandak -- Petogogan -- Lebak Bulus,Lebak Bulus -- Petogogan -- Kecamatan Cilandak -- Muhasyim -- H Batong Raya -- Terogong -- Kramat Batu -- Poncol I -- Madrasah Raya -- H Syaip -- H Nawi Raya -- Bina Karya III -- Hidup Baru V -- Radio Dalam -- Pasar Inpres -- Ketimun III -- Pete IV -- Petogogan I -- Fatmawati -- Pasar Blok A -- Barito -- Mahakam II Atas
K W K,-,S03,Pondok Labu - Pasar Kebayoran Lama,Pondok Labu -- Raya Fatmawati -- Lebak Bulus -- Ciputat Raya -- Pasar Kebayoran Lama,Pasar Kebayoran Lama -- Ciputat Raya -- Lebak Bulus -- Raya Fatmawati -- Pondok Labu
Bus Besar,A Perum PPD,58,Pulo Gadung - Harmoni,Term. Pulo Gadung -- P. Kemerdekaan -- Suprapto -- Galur -- K. Gempol -- Utama Kemayoran -- Angkasa -- H. Samanhudi -- Sawah Besar -- Hayam Wuruk -- Harmoni,Harmoni -- Hayam Wuruk -- Sawah Besar -- H. Samanhudi -- Angkasa -- Utama Kemayoran -- K. Gempol -- Galur -- Suprapto -- P. Kemerdekaan -- Term. Pulo Gadung
K W K,-,S04,Pondok Labu - Term. Ciputat,Pondok Labu -- Komplek Hankam -- Lebak Bulus -- Pasar Jumat -- Ciputat Raya -- Pasar Gintung -- Term. Ciputat,Term. Ciputat -- Pasar Gintung -- Ciputat Raya -- Pasar Jumat -- Lebak Bulus -- Komplek Hankam -- Pondok Labu
Bus Besar,A Perum PPD,60,Tanjung Priok - Senen,Term. Tanjung Priok -- RE. Martadinata -- Gunung Sahari Raya -- Term. Senen,Term. Senen -- Gunung Sahari Raya -- RE. Martadinata -- Term. Tanjung Priok
Angkutan Pengganti Bemo,-,JS02,Manggarai - Kalibata,Terminal Manggarai -- Dr Sahardjo -- Minangkabau Timur -- Pasar Bogor Lama -- Menteng Atas -- Muria Dalam Raya -- Menteng Pulo II -- Casablanca -- Dr Supomo -- Tebet Raya - Barat - Timur Dalam IX -- Cikoko Barat VIII -- Pengadegan Utara - Utara V - Selatan I -- Rajawali Barat -- Duren Kalibata,Duren Kalibata -- Rajawali barat - Selatan I - Utara V -- Pengadegan Utara -- Cikoko Barat VIII - Timur Dalam IX - Barat -- Tebet Raya -- Dr Supomo -- Casablanca -- Menteng Pulo II -- Muria Dalam Raya -- MentengAtas -- Pasar Bogor Lama -- Minangkabau Timur -- Dr Sahardjo -- Terminal Manggarai
Bus Besar,A Perum PPD,63,Tanjung Priok - Medan Senen,Term. Tanjung Priok -- Enggano -- Yos Sudarso -- Suprapto -- Senen Raya -- Kwini -- Pejambon -- Perwira -- Jl. Pos -- Dr. Sutomo -- Gunung Sahari -- Senen -- Kramat Bunder -- Kemb. Tanjung Priok,Kemb. Tanjung Priok -- Kramat Bunder -- Senen -- Gunung Sahari -- Dr. Sutomo -- Jl. Pos -- Perwira -- Pejambon -- Kwini -- Senen Raya -- Suprapto -- Yos Sudarso -- Enggano -- Term. Tanjung Priok
Angkutan Pengganti Bemo,-,JS02A,Cililitan - Kampung Melayu,Cililitan -- Sutoyo -- Dewi Sartika -- Kalibata Raya -- Taman Pahlawan -- Stekpi -- Pengadegan Timur -- MT Haryono -- AsemBaris -- Lapangan Roos -- Melayu Kecil -- Kampung Melayu,Kampung Melayu -- Melayu Kecil -- LapanganRoos -- Asem Baris -- MT Haryono -- Pengadegan Timur -- Stekpi -- TamanPahlawan -- Kalibata Raya -- Dewi Sartika -- Sutoyo -- cililitan
Bus Sedang,Metromini,S610,Blok M - Kmp. Pulo Pp,Term. Blok M -- Jl. Hasanudin -- Iskandarsyah -- Melawai -- Jl. P. Polim -- Jl. Rs. Fatmawati -- Pasar Pd. Labu -- Jl. Margasatwa -- Jl. Bangau Raya -- Kampung Pulo Kembali : -- Kampung Pulo -- Bangau Raya -- Margasatwa -- Pasar Pd. Labu -- Rs. Fatmawati -- P. Polim -- Barito 2 -- Melawai -- Iskandarsyah -- Trunojoyo -- Term. Blok M,Term. Blok M -- Trunojoyo -- Iskandarsyah -- Melawai -- Barito 2 -- P. Polim -- Rs. Fatmawati -- Pasar Pd. Labu -- Margasatwa -- Bangau Raya -- Kampung Pulo Kembali : -- Kampung Pulo -- Jl. Bangau Raya -- Jl. Margasatwa -- Pasar Pd. Labu -- Jl. Rs. Fatmawati -- Jl. P. Polim -- Melawai -- Iskandarsyah -- Jl. Hasanudin -- Term. Blok M
Angkutan Pengganti Bemo,-,JS02B,Pasar Minggu - Kampung Betawi,Pasar Minggu Raya -- Pejaten Raya -- Margasatwa -- Harsono RM -- Kebon Binatang Depan -- Kebon Binatang belakang -- Kav Polri -- Pepaya -- Jagakarsa Raya -- Jagakarsa I -- Moch Kahfi II -- Perkampungan Betawi / Situ Babakan,Situ Babakan -- Perkampungan Betawi / Moch Kahfi II -- Jagakarsa I -- Jagakarsa Raya -- Pepaya -- Kav Polri -- Kebon Binatang Belakang -- Kebon binatang Depan -- Harsono RM -- Margasatwa -- PejatenRaya -- Pasar Minggu
Angkutan Pengganti Bemo,,,,,
Bus Sedang,Metromini,S611,Blok M - Pondok Gede,Term. Blok M -- Iskandarsyah -- Melawai -- Bulungan/Barito -- Kyai Maja -- Mayestik -- Velbak -- Keby. Lama -- Raya Ciputat -- Pondok Gede,Pondok Gede -- Raya Ciputat -- Keby. Lama -- Velbak -- Mayestik -- Kyai Maja -- Bulungan/Barito -- Melawai -- Iskandarsyah -- Term. Blok M
Bus Besar,A Perum PPD,210,Grogol - Rawamangun,Term. Grogol -- S. Parman -- Gatot Subroto -- Semanggi -- Jenderal Sudirman -- Imam Bonjol -- Diponegoro -- Salemba Raya -- Pramuka -- Utan Kayu -- Rawamangun Muka -- Waru -- Term. Rawamangun,Term. Rawamangun -- Waru -- Rawamangun Muka -- Utan Kayu -- Pramuka -- Salemba Raya -- Diponegoro -- Imam Bonjol -- Jenderal Sudirman -- Semanggi -- Gatot Subroto -- S. Parman -- Term. Grogol
Angkutan Pengganti Bemo,-,JS03,Tongtek - Cililitan PP,Bukit Duri Utara - Barat - Selatan -- Sawo kecik -- Lapangan Roos -- Tebet Raya -- Tebet Timur Dalam III - XI -- Cikoko Raya -- Komplek Polri -- Jl Kartika -- Duren Kalibata -- Stasiun Kereta Api -- Raya Kalibata -- Dewi Sartika -- Terminal Cililitan,Terminal Cililitan -- Dewi Sartika -- Raya Kalibata -- Setasiun Kereta Api -- Duren kalibata -- Jl Kartika -- Komplek Polri -- Cikoko Raya XI -- Tebet Timur Dalam III -- Tebet Raya -- Lapangan Roos -- Sawo Kecik - selatan - Barat -- Bukit duri Utara
Bus Besar,A Perum PPD,213,Grogol - Kampung Melayu,Term. Grogol -- S. Parman -- Gatot Subroto -- Semanggi -- Jenderal Sudirman -- Imam Bonjol -- Diponegoro -- Matraman Raya -- Jatinegara Timur -- Term. Kampung Melayu,Term. Kampung Melayu -- Jatinegara Timur -- Matraman Raya -- Diponegoro -- Imam Bonjol -- Jenderal Sudirman -- Semanggi -- Gatot Subroto -- S. Parman -- Term. Grogol
Bus Sedang,Metromini,S619,Blok M - Cinere - D. Limo,Term. Blok M -- Iskandarsyah -- Melawai -- P. Polim III -- Wijaya II -- Darmawangsa II -- Brawijaya I -- Prapanca -- Brawijaya III -- Brawijaya Trsn -- Jl. Arteri -- Rs. Fatmawati -- Pos Pondok Labu -- Pangkalan Jati -- Cinere -- Desa Limo,Desa Limo -- Pangkalan Jati -- Pos Pondok Labu -- Rs. Fatmawati -- Jl. Arteri -- Brawijaya Trsn -- Brawijaya III -- Prapanca -- Brawijaya I -- Darmawangsa II -- Wijaya II -- P. Polim III -- Melawai -- Iskandarsyah -- Term. Blok M
Angkutan Pengganti Bemo,-,JT01,Rawamangun - Klender PP,Terminal Rawamangun -- Pegambiran -- Cipinang Baru Raya -- Bekasi Timur Raya -- Igusti Ngurah Rai -- Kampung Bulak Raya -- Jl KH Maisin -- Tegalamba -- Niaga Raya -- Swadaya Raya -- Raden Intan -- Rumah Sakit Soekanto -- Nusa Indah Raya -- Nusa Indah I -- Teratai Putih -- Terminal Klender --,Reminal Klender -- Teratai Putih -- Nusa Indah I -- Nusa Indah Raya -- Rumah Sakit Soekanto -- RadenIntan -- Swadaya Raya -- Niaga Raya -- Tegalamba -- Jl KH Maisin -- Kampung Bulak Raya -- Igusti Ngurah Rai -- Bekasi Timur Raya -- Cipinang Baru Raya -- Pegambiran -- Terminal Rawamangun
Bus Sedang,Metromini,S640,Pasar Minggu - Tanah Abang,Term. Pasar Minggu -- Jl. Raya Pasar Minggu -- Jl. Gatot Subroto -- Semanggi -- Jl. Sudirman -- Jl. MH. Thamrin -- Jl. Kebon Sirih -- Jl. Jatibaru -- Belok Kanan -- Jl. Cideng -- Berputar Di -- Jemb. Pasar Thomas,Jemb. Pasar Thomas -- Berputar Di -- Jl. Cideng -- Belok Kanan -- Jl. Jatibaru -- Jl. Kebon Sirih -- Jl. MH. Thamrin -- Jl. Sudirman -- Semanggi -- Jl. Gatot Subroto -- Jl. Raya Pasar Minggu -- Term. Pasar Minggu
Angkutan Pengganti Bemo,-,JT02,Pulo Mas - Curug Jaya I,Pulo Mas -- Pengadilan Jakarta Timur -- Kelurahan Kayu Putih -- Tanah Mas -- KayuJati V -- Terminal Rawamangun -- Balai Pustaka -- Jatinegara Kaumry -- Bekasi Timur -- Klender -- Pahlawan Revolusi -- Simp - Kalimalang -- Pangkalan Jati -- Elang Melindo -- Curug Jaya I -- PP,PP -- Curug Jaya I -- Elang Malindo -- Pangkalan Jati -- Simp - Kalimalang -- Pahlawan Revolusi -- Klender -- Bekasi Timur -- Jatinegara Kaumry -- Balai Pustaka -- Terminal Rawamangun -- Kayu Jati V -- Tanah Mas -- Kelurahan Kayu Putih -- Pengadilan Jakarta Timur -- Pulo Mas
Bus Besar,A Perum PPD,504,Pulo Gadung - Grogol,Term. Pulo Gadung -- P. Kemerdekaan -- Suprapto -- Senen Raya -- Pejambon -- Merdeka Timur -- Merdeka Utara -- Majapahit -- Suryopranoto -- Tomang -- S. Parman -- Term. Grogol,Term. Grogol -- S. Parman -- Tomang -- Suryopranoto -- Majapahit -- Merdeka Utara -- Merdeka Timur -- Pejambon -- Senen Raya -- Suprapto -- P. Kemerdekaan -- Term. Pulo Gadung
Angkutan Pengganti Bemo,-,JT03,Klender - TB Rengas,Terminal Klender -- Nusa Indah III - IV - I -- Delima I -- Perumnas Raya -- Buaran -- Pasar Pulo jahe -- Rawa Gelam -- Rawa Badung -- Pupar Ujung -- Pasar Cakung -- Auri -- TB Rengas -- PP,PP -- TB Rengas -- Auri -- Pasar cakung -- Pupar Ujung -- Rawa Badung -- Rawa Gelam -- Pasar Pulo jahe -- Buaran -- Perumnas Raya -- Delima I - IV -- Nusa Indah III -- Terminal Klender
Bus Besar,A Perum PPD,900,Perumnas Depok - Gambir,Simpang Depok -- Raya Bogor -- Letjend Sutoyo -- DI. Panjaitan -- A. Yani -- Pramuka -- Matraman Raya -- Salemba Raya -- Kramat Raya -- Kwitang -- Tugu Tani -- Gambir,Gambir -- Tugu Tani -- Kwitang -- Kramat Raya -- Salemba Raya -- Matraman Raya -- Pramuka -- A. Yani -- DI. Panjaitan -- Letjend Sutoyo -- Raya Bogor -- Simpang Depok
Bus Besar,A Perum PPD,916,Kampung Melayu - Tanah Abang,Term. Kampung Melayu -- Jatinegara Barat -- Matraman Raya -- Salemba Raya -- Kramat Raya -- Kwitang -- Tugu Tani -- Ridwan Rais -- Merdeka Selatan -- H. Agus Salim -- Kebon Sirih -- Fachruddin -- Tanah Abang,Tanah Abang -- Fachruddin -- Kebon Sirih -- H. Agus Salim -- Merdeka Selatan -- Ridwan Rais -- Tugu Tani -- Kwitang -- Kramat Raya -- Salemba Raya -- Matraman Raya -- Jatinegara Barat -- Term. Kampung Melayu
Angkutan Pengganti Bemo,-,JT04,Rawamangun - Kayu Manis,Rawamangun -- Pegambiran -- Cipinang Baru Timur -- Persahabatan -- Cipinang Baru Bunder -- Cipinang Kebembem I -- Cipinang Kebembem Raya -- Cipinang Kebembem 3 -- Pisangan Lama 3 -- Pisangan Baru Timur - Tengah - Tengah 3 -- Kayumanis 8 -- Kayumanis Timur -- Pramuka -- Kayumanis baru Ujung,Kayumanis Baru Ujung -- Pramuka -- Kayumanis Timur -- Kayumanis 8 - Tengah 3 - Tengah -- Pisangan Baru Timur -- Pisangan Lama 3 -- Cipinang Kebembem 3 -- Cipinang Kebembem Raya -- Cipinang Kebembem I -- Cipinang Baru Bunder -- Persahabatan -- Cipinang Baru timur -- Pegambiran -- Rawamangun
